Название,Рейтинг,Жанры,Дата выхода,Платформы
Super Mario Odyssey,97,"Adventure, Platformer","Oct 27, 2017",Switch
Baldur's Gate 3,96,"Adventure, RPG","Aug 3, 2023","PC, PS5, XBXS"
The Legend of Zelda: Breath of the Wild,96,"Adventure, Action","Mar 3, 2017","Wii-U, Switch"
Red Dead Redemption 2,95,"Adventure, Third-Person Shooter","Oct 26, 2018","PS4, XB1, Stadia, PC, XBXS, PS5"
The Legend of Zelda: Tears of the Kingdom,95,"Action, Adventure","May 12, 2023",Switch
Grand Theft Auto IV,95,"Action, Adventure","Dec 2, 2008",PC
Elden Ring,95,"Action, RPG","Feb 25, 2022","PC, XBXS, PS5, XB1, PS4"
Astro Bot,95,Platformer,"Sep 6, 2024",PS5
The Legend of Zelda: Tears of the Kingdom Nintendo Switch 2 Edition,94,,"May 6, 2025","Switch 2, Switch"
The Last of Us Remastered,94,Adventure,"Jul 28, 2014","PS4, PS5"
